employee_id,first_name,last_name,email,department,base_salary,gross_salary,net_salary,bonus,previous_salary,salary_increase_pct,bank_account_no,bank_account_changed,employment_status,is_ghost,overtime_hours,reimbursements,attendance_days
EMP-1001,Rahul,Singh,rahul.singh1@company.com,Engineering,93598.0,93598.0,76750.36,0.0,93598.0,0.0,XXXXXX1001,False,active,False,0.0,0.0,22
EMP-1002,Sneha,Gupta,sneha.gupta2@company.com,Sales,89348.0,89618.0,73486.76,0.0,89348.0,0.0,XXXXXX1002,False,active,False,6.0,300.0,22
EMP-1003,Rohan,Choudhury,rohan.choudhury3@company.com,Legal,47082.0,47082.0,38607.24,0.0,47082.0,0.0,XXXXXX1003,False,active,False,0.0,0.0,22
EMP-1004,Karan,Joshi,karan.joshi4@company.com,Engineering,81781.0,81781.0,67060.42,0.0,81781.0,0.0,XXXXXX1004,False,active,False,0.0,450.0,22
EMP-1005,Rahul,Iyer,rahul.iyer5@company.com,Legal,320000.0,320000.0,262400.0,0.0,59446.0,0.0,XXXXXX1005,False,active,False,2.0,300.0,22
EMP-1006,Aditya,Sharma,aditya.sharma6@company.com,Finance,90753.0,90843.0,74491.26,0.0,90753.0,0.0,XXXXXX1006,False,active,False,2.0,0.0,22
EMP-1007,Aditya,Gupta,aditya.gupta7@company.com,HR,67059.0,67059.0,54988.38,0.0,67059.0,0.0,XXXXXX1007,False,active,False,0.0,0.0,22
EMP-1008,Kabir,Singh,kabir.singh8@company.com,Marketing,67541.0,67721.0,55531.22,0.0,67541.0,0.0,XXXXXX1008,False,active,False,4.0,0.0,22
EMP-1009,Sonam,Verma,sonam.verma9@company.com,Customer Support,80142.0,80142.0,65716.44,0.0,80142.0,0.0,XXXXXX1009,False,active,False,0.0,150.0,22
EMP-1010,Rohan,Iyer,rohan.iyer10@company.com,Operations,86198.0,86378.0,70829.96,0.0,86198.0,0.0,XXXXXX1010,False,active,False,4.0,0.0,22
EMP-1011,Varun,Patel,varun.patel11@company.com,Sales,48003.0,48273.0,39583.86,0.0,48003.0,0.0,XXXXXX1011,False,active,False,6.0,0.0,22
EMP-1012,Manish,Rao,manish.rao12@company.com,Sales,85000.0,85000.0,69700.0,0.0,60000.0,41.6,XXXXXX1012,False,active,False,8.0,0.0,22
EMP-1013,Kabir,Bose,kabir.bose13@company.com,Customer Support,86660.0,87020.0,71356.4,0.0,86660.0,0.0,XXXXXX1013,False,active,False,8.0,0.0,22
EMP-1014,Ananya,Nair,ananya.nair14@company.com,Marketing,58730.0,59000.0,48380.0,0.0,58730.0,0.0,XXXXXX1014,False,active,False,6.0,0.0,22
EMP-1015,Amit,Kapoor,amit.kapoor15@company.com,Finance,80005.0,80275.0,65825.5,0.0,80005.0,0.0,XXXXXX1015,False,active,False,6.0,0.0,22
EMP-1016,Ananya,Saxena,ananya.saxena16@company.com,Legal,62691.0,62961.0,51628.02,0.0,62691.0,0.0,XXXXXX1016,False,active,False,6.0,450.0,22
EMP-1017,Pooja,Joshi,pooja.joshi17@company.com,Marketing,48665.0,48665.0,39905.3,0.0,48665.0,0.0,XXXXXX1017,False,active,False,0.0,0.0,22
EMP-1018,Sonam,Reddy,sonam.reddy18@company.com,Legal,62546.0,75000.0,61500.0,0.0,62546.0,0.0,XXXXXX1018,False,terminated,False,0.0,0.0,22
EMP-1019,Swati,Choudhury,swati.choudhury19@company.com,Marketing,58934.0,59204.0,48547.28,0.0,58934.0,0.0,XXXXXX1019,False,active,False,6.0,150.0,22
EMP-1020,Kabir,Saxena,kabir.saxena20@company.com,Finance,62359.0,62359.0,51134.38,0.0,62359.0,0.0,XXXXXX1020,False,active,False,0.0,0.0,22
EMP-1021,Kavya,Iyer,kavya.iyer21@company.com,Operations,93956.0,94136.0,77191.52,0.0,93956.0,0.0,XXXXXX1021,False,active,False,4.0,150.0,22
EMP-1022,Rajesh,Choudhury,rajesh.choudhury22@company.com,Legal,68723.0,68723.0,56352.86,0.0,68723.0,0.0,XXXXXX1022,False,active,False,0.0,0.0,22
EMP-1023,Dev,Malhotra,dev.malhotra23@company.com,Sales,94530.0,94530.0,77514.6,0.0,94530.0,0.0,XXXXXX1023,False,active,False,0.0,0.0,22
EMP-1024,Vikram,Mehta,vikram.mehta24@company.com,Legal,84086.0,84086.0,68950.52,0.0,84086.0,0.0,XXXXXX1024,False,active,False,0.0,150.0,22
EMP-1025,Kabir,Bhatnagar,kabir.bhatnagar25@company.com,Customer Support,79676.0,79676.0,65334.32,0.0,79676.0,0.0,XXXXXX9888,True,active,False,0.0,300.0,22
EMP-1026,Nisha,Sharma,nisha.sharma26@company.com,Sales,89676.0,89856.0,73681.92,0.0,89676.0,0.0,XXXXXX1026,False,active,False,4.0,0.0,22
EMP-1027,Manish,Reddy,manish.reddy27@company.com,Sales,64234.0,64324.0,52745.68,0.0,64234.0,0.0,XXXXXX1027,False,active,False,2.0,0.0,22
EMP-1028,Aarav,Sharma,aarav.sharma28@company.com,Operations,77806.0,78166.0,64096.12,0.0,77806.0,0.0,XXXXXX1028,False,active,False,8.0,0.0,22
EMP-1029,Dev,Singh,dev.singh29@company.com,Operations,86874.0,87054.0,71384.28,0.0,86874.0,0.0,XXXXXX1029,False,active,False,4.0,300.0,22
EMP-1030,Karan,Gupta,karan.gupta30@company.com,Marketing,94971.0,94971.0,77876.22,0.0,94971.0,0.0,XXXXXX1030,False,active,False,0.0,300.0,22
EMP-1031,Manish,Trivedi,manish.trivedi31@company.com,Engineering,84252.0,84252.0,69086.64,0.0,84252.0,0.0,XXXXXX1031,False,active,False,0.0,150.0,22
EMP-1032,Arjun,Singh,arjun.singh32@company.com,Marketing,65153.0,80153.0,65725.46,15000.0,65153.0,0.0,XXXXXX1032,False,active,False,0.0,0.0,22
EMP-1033,Sneha,Choudhury,sneha.choudhury33@company.com,Sales,50613.0,50883.0,41724.06,0.0,50613.0,0.0,XXXXXX1033,False,active,False,6.0,150.0,22
EMP-1034,Gaurav,Kapoor,gaurav.kapoor34@company.com,Finance,53414.0,53684.0,44020.88,0.0,53414.0,0.0,XXXXXX1034,False,active,False,6.0,150.0,22
EMP-1035,Pooja,Mehta,pooja.mehta35@company.com,Operations,79581.0,79941.0,65551.62,0.0,79581.0,0.0,XXXXXX1035,False,active,False,8.0,300.0,22
EMP-1036,Riya,Patel,riya.patel36@company.com,HR,91723.0,91723.0,75212.86,0.0,91723.0,0.0,XXXXXX1036,False,active,False,0.0,150.0,22
EMP-1037,Deepika,Nair,deepika.nair37@company.com,Customer Support,78919.0,79009.0,64787.38,0.0,78919.0,0.0,XXXXXX1037,False,active,False,2.0,0.0,22
EMP-1038,Sneha,Joshi,sneha.joshi38@company.com,Sales,67156.0,67156.0,55067.92,0.0,67156.0,0.0,XXXXXX1038,False,active,False,0.0,300.0,22
EMP-1039,Pooja,Joshi,pooja.joshi39@company.com,HR,45471.0,45471.0,37286.22,0.0,45471.0,0.0,XXXXXX1039,False,active,False,0.0,450.0,22
EMP-1040,Rahul,Verma,rahul.verma40@company.com,HR,30000.0,30000.0,24600.0,0.0,49417.0,0.0,XXXXXX1040,False,active,False,0.0,0.0,22
EMP-1041,Rohan,Trivedi,rohan.trivedi41@company.com,HR,63250.0,63520.0,52086.4,0.0,63250.0,0.0,XXXXXX1041,False,active,False,6.0,150.0,22
EMP-1042,Karan,Iyer,karan.iyer42@company.com,Finance,92405.0,92585.0,75919.7,0.0,92405.0,0.0,XXXXXX1042,False,active,False,4.0,300.0,22
EMP-1043,Tanvi,Joshi,tanvi.joshi43@company.com,Customer Support,71677.0,71677.0,58775.14,0.0,71677.0,0.0,XXXXXX1043,False,active,False,0.0,0.0,22
EMP-1044,Priya,Chopra,priya.chopra44@company.com,Marketing,72759.0,72849.0,59736.18,0.0,72759.0,0.0,XXXXXX1044,False,active,False,2.0,150.0,22
EMP-1045,Nisha,Verma,nisha.verma45@company.com,Sales,48972.0,49062.0,40230.84,0.0,48972.0,0.0,XXXXXX1045,False,active,False,2.0,450.0,22
EMP-1046,Siddharth,Singh,siddharth.singh46@company.com,HR,57556.0,57556.0,47195.92,0.0,57556.0,0.0,XXXXXX1046,False,active,False,0.0,300.0,22
EMP-1047,Aarav,Gupta,aarav.gupta47@company.com,Legal,57025.0,57025.0,46760.5,0.0,57025.0,0.0,XXXXXX1047,False,active,False,0.0,150.0,22
EMP-GHOST-909,Sneha,Kapoor,sneha.kapoor48@company.com,Customer Support,81066.0,65000.0,53300.0,0.0,81066.0,0.0,XXXXXX1048,False,ghost,True,0.0,0.0,0
EMP-1049,Rahul,Iyer,rahul.iyer49@company.com,Engineering,51112.0,51472.0,42207.04,0.0,51112.0,0.0,XXXXXX1049,False,active,False,8.0,0.0,22
