payroll_batch_id,pay_period,employee_id,employee_name,department,employment_status,salary_inr,bonus_inr,total_payout_inr,bank_account,previous_bank_account,bank_account_changed,fraud_type,risk_level
PAY-2026-08-01,2026-08-01 to 2026-08-31,EMP-1001,Karan Singh,Finance,active,85000,0,85000,XXXXXX8513,,No,None,Low
PAY-2026-08-01,2026-08-01 to 2026-08-31,EMP-1002,Riya Patel,Engineering,active,125000,0,125000,XXXXXX5452,,No,None,Low
PAY-2026-08-01,2026-08-01 to 2026-08-31,EMP-1003,Priya Gupta,Marketing,active,55000,0,55000,XXXXXX9729,,No,None,Low
PAY-2026-08-01,2026-08-01 to 2026-08-31,EMP-1004,Rohan Das,Support,active,160000,0,160000,XXXXXX2769,,No,None,Low
PAY-2026-08-01,2026-08-01 to 2026-08-31,EMP-1005,Manav Mehta,Support,active,95000,0,95000,XXXXXX5004,,No,None,Low
PAY-2026-08-01,2026-08-01 to 2026-08-31,EMP-1006,Neha Kumar,Operations,active,65000,0,65000,XXXXXX2631,,No,None,Low
PAY-2026-08-01,2026-08-01 to 2026-08-31,EMP-1007,Aarav Bose,HR,active,85000,0,85000,XXXXXX1489,,No,None,Low
PAY-2026-08-01,2026-08-01 to 2026-08-31,EMP-1008,Rohan Rao,Support,active,45000,0,45000,XXXXXX1356,,No,None,Low
PAY-2026-08-01,2026-08-01 to 2026-08-31,EMP-1009,Meera Menon,Support,active,140000,0,140000,XXXXXX4960,,No,None,Low
PAY-2026-08-01,2026-08-01 to 2026-08-31,EMP-1010,Riya Reddy,HR,active,95000,0,95000,XXXXXX3260,,No,None,Low
PAY-2026-08-01,2026-08-01 to 2026-08-31,EMP-1011,Rahul Reddy,Sales,active,45000,0,45000,XXXXXX9756,,No,None,Low
PAY-2026-08-01,2026-08-01 to 2026-08-31,EMP-1012,Kabir Bose,Support,active,75000,0,75000,XXXXXX7314,,No,Bank account reused across employees,High
PAY-2026-08-01,2026-08-01 to 2026-08-31,EMP-1013,Rahul Nair,Operations,active,65000,0,65000,XXXXXX3131,,No,None,Low
PAY-2026-08-01,2026-08-01 to 2026-08-31,EMP-1014,Rahul Verma,Engineering,active,85000,0,85000,XXXXXX1513,,No,None,Low
PAY-2026-08-01,2026-08-01 to 2026-08-31,EMP-1015,Arjun Mehta,Finance,active,55000,0,55000,XXXXXX8742,,No,None,Low
PAY-2026-08-01,2026-08-01 to 2026-08-31,EMP-1016,Sana Kumar,Finance,active,125000,0,125000,XXXXXX3646,,No,None,Low
PAY-2026-08-01,2026-08-01 to 2026-08-31,EMP-1017,Aarav Kapoor,Sales,active,75000,0,75000,XXXXXX3687,,No,None,Low
PAY-2026-08-01,2026-08-01 to 2026-08-31,EMP-1018,Rohan Singh,Finance,active,65000,0,65000,XXXXXX4821,,No,Shared bank account cluster,Critical
PAY-2026-08-01,2026-08-01 to 2026-08-31,EMP-1019,Aditya Verma,Finance,active,45000,0,45000,XXXXXX8753,,No,None,Low
PAY-2026-08-01,2026-08-01 to 2026-08-31,EMP-1020,Aditya Das,Marketing,active,45000,0,45000,XXXXXX5350,,No,None,Low
PAY-2026-08-02,2026-08-01 to 2026-08-31,EMP-1021,Nisha Gupta,Operations,active,45000,0,45000,XXXXXX9852,,No,None,Low
PAY-2026-08-02,2026-08-01 to 2026-08-31,EMP-1022,Ananya Bose,Finance,active,160000,0,160000,XXXXXX4786,,No,None,Low
PAY-2026-08-02,2026-08-01 to 2026-08-31,EMP-1023,Vikram Reddy,Engineering,active,45000,0,45000,XXXXXX6661,,No,None,Low
PAY-2026-08-02,2026-08-01 to 2026-08-31,EMP-1024,Manav Mehta,Support,active,425000,0,425000,XXXXXX3218,,No,Unusually high salary,High
PAY-2026-08-02,2026-08-01 to 2026-08-31,EMP-1025,Sana Verma,HR,active,160000,0,160000,XXXXXX9816,,No,None,Low
PAY-2026-08-02,2026-08-01 to 2026-08-31,EMP-1026,Dev Patel,Marketing,active,55000,0,55000,XXXXXX4957,,No,None,Low
PAY-2026-08-02,2026-08-01 to 2026-08-31,EMP-1027,Rahul Menon,Marketing,active,95000,0,95000,XXXXXX4487,,No,None,Low
PAY-2026-08-02,2026-08-01 to 2026-08-31,EMP-1028,Sana Iyer,Marketing,active,110000,0,110000,XXXXXX9712,,No,None,Low
PAY-2026-08-02,2026-08-01 to 2026-08-31,EMP-1029,Manav Singh,HR,active,45000,0,45000,XXXXXX9765,,No,None,Low
